Compound,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol,Nb_tol
YHgB,3,6.355,7.774,21.383,166.224,-3.893,0,0.096,PBE,64.149,78.041,5.333,1.317,3,0.633,18.5886,1.271,6,0.385,39.214,1.255,5.365,0.983,6.348,5.822,15.695,0.19,
YNiAs,3,6.101,6.508,18.925,123.168,-6.476,0,0.492,PBE,56.774,99.593,5.333,2.916,3,1.402,7.2003,0.205,8,0.051,1030.079,1.255,10.545,1.265,11.81,2.479,48.132,0.11,
YNiBi,3,6.493,8.651,22.814,197.371,-5.95,0,0.193,PBE,68.443,78.934,5.333,2.032,3,0.977,9.8103,0.346,8,0.087,372.326,1.255,5.043,0.917,5.961,4.835,55.213,0.16,
YNiP,3,5.964,5.593,17.674,98.842,-6.718,0,0.594,PBE,53.021,108.756,5.333,2.702,3,1.299,8.8151,0.355,8,0.089,493.609,1.255,14.731,1.459,16.19,2.067,27.579,0.18,
YNiSb,3,6.359,6.956,21.433,149.094,-6.262,0,0.285,PBE,64.298,90.264,5.333,2.238,3,1.076,9.7057,0.148,8,0.037,1521.922,1.255,8.494,1.117,9.611,3.236,65.179,0.11,
YPtBi,3,6.746,10.667,25.58,272.865,-6.51,0,0.424,MBJ,76.739,87.827,5.333,0.669,3,0.322,57.782,0.738,6,0.224,99.742,1.255,5.343,0.839,6.182,10.102,25.134,0.14,
YPtP,3,6.305,8.347,20.886,174.336,-7.038,0,0.917,MBJ,62.657,107.722,5.333,0.013,3,0.006,26163.1937,0.751,8,0.188,158.897,1.255,9.898,1.124,11.022,73.934,25.597,0.2,
ZrAgB,3,5.925,6.702,17.335,116.184,-5.343,0,0.24,PBE,52.005,127.111,5.333,0.266,6,0.081,667.1048,2.825,6,0.856,19.275,1.255,16.487,1.45,17.937,23.126,5.603,0.22,
ZrAuAl,3,6.316,8.308,20.998,174.452,-5.742,0,0.472,PBE,62.993,117.633,5.333,1.212,6,0.367,63.4755,0.309,6,0.094,493.086,1.255,12.143,1.175,13.318,11.604,26.346,0.2,
ZrAuB,3,5.976,9.305,17.786,165.501,-5.902,0,0.79,PBE,53.359,142.609,5.333,1.729,6,0.524,45.1633,2.752,6,0.833,22.491,1.255,14.517,1.292,15.809,9.575,7.245,0.21,
